"","섹터","종목코드","종목명"
"730","경기관련소비재","002700","신일산업"
"731","경기관련소비재","145210","세화아이엠씨"
"732","경기관련소비재","001530","동일방직"
"733","경기관련소비재","008290","원풍물산"
"734","경기관련소비재","004060","SG세계물산"
"735","경기관련소비재","036530","S&T홀딩스"
"736","경기관련소비재","011320","유니크"
"737","경기관련소비재","011330","유니켐"
"738","경기관련소비재","230360","에코마케팅"
"739","경기관련소비재","173940","에프엔씨엔터"
"740","경기관련소비재","092200","디아이씨"
"741","경기관련소비재","035150","백산"
"742","경기관련소비재","046070","코다코"
"743","경기관련소비재","237880","클리오"
"744","경기관련소비재","080420","모다이노칩"
"745","경기관련소비재","007980","태평양물산"
"746","경기관련소비재","066590","우수AMS"
"747","경기관련소비재","058400","KNN"
"748","경기관련소비재","089470","HDC현대EP"
"749","경기관련소비재","017370","우신시스템"
"750","경기관련소비재","094850","참좋은여행"
"751","경기관련소비재","033530","세종공업"
"752","경기관련소비재","009320","대우부품"
"753","경기관련소비재","214420","토니모리"
"754","경기관련소비재","056080","유진로봇"
"755","경기관련소비재","216050","인크로스"
"756","경기관련소비재","043370","평화정공"
"757","경기관련소비재","004700","조광피혁"
"758","경기관련소비재","016450","한세예스24홀딩스"
"759","경기관련소비재","013520","화승알앤에이"
"760","경기관련소비재","002880","대유에이텍"
"761","경기관련소비재","013870","지엠비코리아"
"762","경기관련소비재","035290","더블유에프엠"
"763","경기관련소비재","005800","신영와코루"
"764","경기관련소비재","012200","계양전기"
"765","경기관련소비재","282690","동아타이어"
"766","경기관련소비재","040300","YTN"
"767","경기관련소비재","002170","삼양통상"
"768","경기관련소비재","040420","정상제이엘에스"
"769","경기관련소비재","084680","이월드"
"770","경기관련소비재","078590","두올산업"
"771","경기관련소비재","036260","이매진아시아"
"772","경기관련소비재","003610","방림"
"773","경기관련소비재","001070","대한방직"
"774","경기관련소비재","241690","유니테크노"
